age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,expectation,prediction
30.0,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,0.015274315461342445,<=50K
40.0,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.10747750207229656,<=50K
33.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,8.0,United-States,0.4938127241150534,>50K
41.0,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,55.0,United-States,0.7288426352522261,>50K
22.0,Private,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.001274280753096905,<=50K
37.0,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,39.0,United-States,0.3639972802616172,<=50K
42.0,Private,Masters,14,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.32813057995833744,<=50K
39.0,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,Mexico,0.00905974768185966,<=50K
29.0,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60.0,United-States,0.15299364845698665,<=50K
43.0,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0.13857788369005705,<=50K
43.0,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,20.0,United-States,0.014994074485388042,<=50K
27.0,Private,10th,6,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,0.0029293514788222923,<=50K
48.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103.0,0.0,48.0,United-States,0.6576837318160681,>50K
34.0,Private,HS-grad,9,Divorced,?,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.011000026267942106,<=50K
23.0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,0.002226571413874832,<=50K
64.0,Private,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0.0,1741.0,40.0,United-States,0.015176903764862165,<=50K
45.0,Private,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,43.0,United-States,0.1263499077995969,<=50K
43.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,30.0,United-States,0.7050550864076078,>50K
56.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.3655977063447233,<=50K
38.0,Private,Assoc-acdm,12,Widowed,Sales,Unmarried,White,Female,0.0,0.0,35.0,United-States,0.050354580445361306,<=50K
60.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Japan,0.33301232958570065,<=50K
56.0,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,48.0,United-States,0.07796014061969656,<=50K
33.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.24500929290947454,<=50K
56.0,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.34427045439129106,<=50K
49.0,Local-gov,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.023066689508809142,<=50K
46.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,10.0,United-States,0.5016055823388618,>50K
55.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,35.0,United-States,0.24376383062812657,<=50K
22.0,Private,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0.0,0.0,39.0,United-States,0.0034949233270031434,<=50K
37.0,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,27828.0,0.0,40.0,United-States,0.9409468577499416,>50K
48.0,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0.04474837216137118,<=50K
28.0,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,40.0,United-States,0.06219047757731069,<=50K
53.0,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0.28146501007229885,<=50K
51.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,0.43753401791543817,>50K
36.0,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0.0,2258.0,40.0,United-States,0.5026994795578024,>50K
70.0,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,0.18969558477003493,<=50K
44.0,State-gov,Some-college,10,Separated,Tech-support,Own-child,Black,Female,0.0,0.0,40.0,United-States,0.039137095638152576,<=50K
18.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,20.0,United-States,0.0012058934437666783,<=50K
68.0,Private,HS-grad,9,Widowed,?,Not-in-family,White,Female,0.0,0.0,12.0,United-States,0.0041541605755959395,<=50K
76.0,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,20.0,United-States,0.10566625333263552,<=50K
30.0,Self-emp-inc,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.052813454994816635,<=50K
18.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,12.0,United-States,0.0010963836406198517,<=50K
47.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7688.0,0.0,45.0,United-States,0.988238832568274,>50K
19.0,Private,Some-college,10,Never-married,?,Own-child,White,Male,0.0,0.0,25.0,United-States,0.0016936256518449491,<=50K
53.0,Private,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,35.0,United-States,0.18630204797861583,<=50K
32.0,Private,12th,8,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,0.10174760281870177,<=50K
35.0,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,United-States,0.02321750506231991,<=50K
29.0,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.014674433867527812,<=50K
30.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.21405751965037803,<=50K
40.0,Private,Assoc-voc,11,Separated,?,Own-child,White,Female,0.0,0.0,40.0,United-States,0.028871601771319328,<=50K
34.0,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,35.0,United-States,0.005380236000183668,<=50K
43.0,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,0.6517404577257007,>50K
35.0,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,48.0,United-States,0.6534488402271815,>50K
31.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0.20234447606595052,<=50K
40.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1485.0,40.0,United-States,0.5123697377774905,>50K
46.0,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,0.4958215658427401,>50K
18.0,Private,11th,7,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,0.00030099961802808724,<=50K
38.0,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0.0,2339.0,47.0,United-States,0.10645295704081037,<=50K
39.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,0.2875111453551583,<=50K
30.0,Private,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0.22036481872292343,<=50K
42.0,Federal-gov,Assoc-acdm,12,Separated,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.12687531892617795,<=50K
36.0,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.16721965788137122,<=50K
31.0,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,0.170491900302652,<=50K
19.0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,0.002586810045731383,<=50K
21.0,Private,Some-college,10,Never-married,Tech-support,Own-child,Black,Female,0.0,0.0,4.0,United-States,0.00046504099840103226,<=50K
45.0,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Black,Male,0.0,0.0,40.0,United-States,0.7019857283185275,>50K
48.0,Private,Bachelors,13,Divorced,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States,0.1547426496017913,<=50K
30.0,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,34.0,United-States,0.4921990298026317,>50K
21.0,Private,Bachelors,13,Never-married,?,Own-child,White,Male,0.0,0.0,40.0,United-States,0.011817814077879454,<=50K
25.0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2174.0,0.0,40.0,United-States,0.0038368332167589333,<=50K
48.0,Federal-gov,Bachelors,13,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,0.21199182455844928,<=50K
61.0,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.15980898265075452,<=50K
35.0,Private,HS-grad,9,Married-spouse-absent,Transport-moving,Other-relative,White,Female,0.0,0.0,40.0,Dominican-Republic,0.009311672237465294,<=50K
46.0,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.04866107983370946,<=50K
63.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,0.5786493063778514,>50K
49.0,Private,7th-8th,4,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.008732087700839122,<=50K
21.0,State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,0.007929640067738022,<=50K
38.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Poland,0.152204211157903,<=50K
29.0,Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.2039470832550768,<=50K
31.0,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25.0,Mexico,0.18018205693161066,<=50K
26.0,Private,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,0.008483504157981553,<=50K
33.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,55.0,United-States,0.23681276430310605,<=50K
28.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,48.0,United-States,0.2099502304091642,<=50K
21.0,State-gov,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,35.0,United-States,0.004300744084394757,<=50K
21.0,Private,Some-college,10,Never-married,?,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0.004799978604848068,<=50K
18.0,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,28.0,United-States,0.0007715172286132692,<=50K
20.0,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0.0,0.0,12.0,United-States,0.0018510315333213354,<=50K
47.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,25.0,United-States,0.28022247339571194,<=50K
60.0,Self-emp-not-inc,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1887.0,67.0,United-States,0.7353123774625818,>50K
64.0,Private,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.020876071507997005,<=50K
29.0,Private,HS-grad,9,Never-married,?,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,0.003976809044571407,<=50K
38.0,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0.2299386517294937,<=50K
18.0,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,20.0,United-States,0.0008509965015415362,<=50K
32.0,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,China,0.01580210642592436,<=50K
40.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,0.41363495437822045,>50K
22.0,Private,Some-college,10,Never-married,?,Own-child,Asian-Pac-Islander,Male,0.0,0.0,24.0,United-States,0.0019272542648645385,<=50K
26.0,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.01807720344997607,<=50K
27.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,0.032629767451406944,<=50K
48.0,Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,United-States,0.45505552259027204,>50K
40.0,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,38.0,United-States,0.32324493204321697,<=50K
30.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,0.6443577405728304,>50K
57.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,55.0,United-States,0.33049796376546664,<=50K
28.0,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,0.4412247291015611,>50K
43.0,Self-emp-inc,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,27828.0,0.0,45.0,United-States,0.9743733862133387,>50K
23.0,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,0.049539318580118216,<=50K
37.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.30286111824083445,<=50K
49.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,0.4175258076472053,>50K
66.0,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605.0,0.0,40.0,United-States,0.9594851189927663,>50K
53.0,State-gov,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,37.0,United-States,0.5737521441684045,>50K
17.0,Private,10th,6,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,0.00029160609879278594,<=50K
44.0,Private,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.09412899927598652,<=50K
42.0,State-gov,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,0.308937239379047,<=50K
18.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,20.0,United-States,0.001025105134038905,<=50K
37.0,Local-gov,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0.5157087850788439,>50K
33.0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,55.0,United-States,0.5515070918603759,>50K
74.0,Private,Assoc-voc,11,Widowed,Priv-house-serv,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.0435037074300679,<=50K
47.0,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,45.0,United-States,0.26641442130647325,<=50K
40.0,Self-emp-not-inc,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,0.008277755805026795,<=50K
40.0,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0.013596309349307665,<=50K
59.0,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,10.0,United-States,0.6710458473783786,>50K
31.0,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Black,Male,0.0,0.0,40.0,United-States,0.17797647987465745,<=50K
37.0,Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,35.0,United-States,0.012746907386498741,<=50K
26.0,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,0.023637639412839057,<=50K
56.0,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,14084.0,0.0,60.0,United-States,0.9531212763249454,>50K
38.0,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.1770493223477396,<=50K
42.0,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,55.0,United-States,0.9646245721451718,>50K
25.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0.3022843613598302,<=50K
56.0,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0.021329567915300673,<=50K
54.0,Local-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.03212181503553222,<=50K
54.0,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7688.0,0.0,60.0,United-States,0.9705608900389038,>50K
48.0,Private,1st-4th,2,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0.0,0.0,45.0,China,0.12515887322738006,<=50K
30.0,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0.013742773107126793,<=50K
55.0,Private,Masters,14,Widowed,Exec-managerial,Own-child,White,Male,0.0,0.0,62.0,United-States,0.37143622409623245,<=50K
35.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,0.38881015313947204,<=50K
42.0,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.08488233886220002,<=50K
36.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,5178.0,0.0,50.0,United-States,0.8254303616939946,>50K
22.0,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,0.003366840491792346,<=50K
33.0,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,80.0,Mexico,0.09918544950207145,<=50K
27.0,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0.006404365929707249,<=50K
51.0,Private,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0.0,0.0,18.0,United-States,0.33922224479549185,<=50K
19.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,0.0025327537538809355,<=50K
20.0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,20.0,United-States,0.001887333975490942,<=50K
46.0,State-gov,Assoc-voc,11,Separated,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0.04644956677661153,<=50K
56.0,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,48.0,United-States,0.9714597270233872,>50K
49.0,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,9562.0,0.0,32.0,United-States,0.9345475489824882,>50K
36.0,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.02710952215538801,<=50K
